review,cleaned,sentiment,confidence,topic
The quality is amazing and I am really satisfied.,quality amazing really satisfied,POSITIVE,0.999882698059082,1
Not what I expected and I'm very upset.,expected im upset,NEGATIVE,0.9959623217582704,2
Will definitely buy again and the design is very stylish.,definitely buy design stylish,POSITIVE,0.9998375177383424,0
"Not bad, not great but nothing extraordinary.",bad great nothing extraordinary,NEGATIVE,0.9972067475318908,0
This exceeded my expectations and the design is very stylish.,exceeded expectation design stylish,POSITIVE,0.9981595873832704,0
Terrible experience so I will not buy again.,terrible experience buy,NEGATIVE,0.9976061582565308,0
Highly recommend this and works perfectly.,highly recommend work perfectly,POSITIVE,0.9998751878738404,3
Absolutely fantastic and works perfectly.,absolutely fantastic work perfectly,POSITIVE,0.9998784065246582,3
Not what I expected after only a week.,expected week,POSITIVE,0.8599987030029297,4
Customer support was helpful and works perfectly.,customer support helpful work perfectly,POSITIVE,0.9998527765274048,2
Very happy with my purchase and the design is very stylish.,happy purchase design stylish,POSITIVE,0.9998782873153688,0
This exceeded my expectations and I am really satisfied.,exceeded expectation really satisfied,POSITIVE,0.9930021166801452,1
Delivery was late which is totally unacceptable.,delivery late totally unacceptable,NEGATIVE,0.99977046251297,4
Not what I expected which is totally unacceptable.,expected totally unacceptable,NEGATIVE,0.9996871948242188,4
It’s okay as I expected.,okay expected,POSITIVE,0.985568344593048,4
Really well made and the design is very stylish.,really well made design stylish,POSITIVE,0.9998695850372314,0
Terrible experience and I'm very upset.,terrible experience im upset,NEGATIVE,0.999309539794922,2
Absolutely fantastic and I am really satisfied.,absolutely fantastic really satisfied,POSITIVE,0.999886393547058,3
This exceeded my expectations and I am really satisfied.,exceeded expectation really satisfied,POSITIVE,0.9930021166801452,1
Really well made and I am really satisfied.,really well made really satisfied,POSITIVE,0.9998472929000854,1
Great value for money and I am really satisfied.,great value money really satisfied,POSITIVE,0.9997000694274902,0
I love this product and I am really satisfied.,love product really satisfied,POSITIVE,0.9992761015892028,1
The quality is amazing and the design is very stylish.,quality amazing design stylish,POSITIVE,0.9998798370361328,0
Average product but nothing extraordinary.,average product nothing extraordinary,NEGATIVE,0.9984714388847352,4
