review,cleaned,sentiment,confidence
The quality is amazing and I am really satisfied.,quality amazing really satisfied,POSITIVE,0.999882698059082
Not what I expected and I'm very upset.,expected im upset,NEGATIVE,0.9959623217582703
Will definitely buy again and the design is very stylish.,definitely buy design stylish,POSITIVE,0.9998375177383423
"Not bad, not great but nothing extraordinary.",bad great nothing extraordinary,NEGATIVE,0.9972067475318909
This exceeded my expectations and the design is very stylish.,exceeded expectation design stylish,POSITIVE,0.9981595873832703
Terrible experience so I will not buy again.,terrible experience buy,NEGATIVE,0.9976061582565308
Highly recommend this and works perfectly.,highly recommend work perfectly,POSITIVE,0.9998751878738403
Absolutely fantastic and works perfectly.,absolutely fantastic work perfectly,POSITIVE,0.9998784065246582
Not what I expected after only a week.,expected week,POSITIVE,0.8599987030029297
Customer support was helpful and works perfectly.,customer support helpful work perfectly,POSITIVE,0.9998527765274048
Very happy with my purchase and the design is very stylish.,happy purchase design stylish,POSITIVE,0.9998782873153687
This exceeded my expectations and I am really satisfied.,exceeded expectation really satisfied,POSITIVE,0.9930021166801453
Delivery was late which is totally unacceptable.,delivery late totally unacceptable,NEGATIVE,0.99977046251297
Not what I expected which is totally unacceptable.,expected totally unacceptable,NEGATIVE,0.9996871948242188
It’s okay as I expected.,okay expected,POSITIVE,0.9855683445930481
Really well made and the design is very stylish.,really well made design stylish,POSITIVE,0.9998695850372314
Terrible experience and I'm very upset.,terrible experience im upset,NEGATIVE,0.9993095397949219
Absolutely fantastic and I am really satisfied.,absolutely fantastic really satisfied,POSITIVE,0.9998863935470581
This exceeded my expectations and I am really satisfied.,exceeded expectation really satisfied,POSITIVE,0.9930021166801453
Really well made and I am really satisfied.,really well made really satisfied,POSITIVE,0.9998472929000854
Great value for money and I am really satisfied.,great value money really satisfied,POSITIVE,0.9997000694274902
I love this product and I am really satisfied.,love product really satisfied,POSITIVE,0.9992761015892029
The quality is amazing and the design is very stylish.,quality amazing design stylish,POSITIVE,0.9998798370361328
Average product but nothing extraordinary.,average product nothing extraordinary,NEGATIVE,0.9984714388847351
Very happy with my purchase and I am really satisfied.,happy purchase really satisfied,POSITIVE,0.9998767375946045
Very happy with my purchase and works perfectly.,happy purchase work perfectly,POSITIVE,0.9998800754547119
Not what I expected after only a week.,expected week,POSITIVE,0.8599987030029297
"Not bad, not great and it's okay.",bad great okay,POSITIVE,0.9992345571517944
Just fine for the price.,fine price,POSITIVE,0.9997044205665588
Not worth the price so I will not buy again.,worth price buy,POSITIVE,0.9997650980949402
The quality is amazing and I am really satisfied.,quality amazing really satisfied,POSITIVE,0.999882698059082
Great value for money and the design is very stylish.,great value money design stylish,POSITIVE,0.9997816681861877
Really well made and works perfectly.,really well made work perfectly,POSITIVE,0.9998632669448853
Great value for money and I am really satisfied.,great value money really satisfied,POSITIVE,0.9997000694274902
Nothing special for the price.,nothing special price,NEGATIVE,0.9988071918487549
Very happy with my purchase and I am really satisfied.,happy purchase really satisfied,POSITIVE,0.9998767375946045
Delivery was late which is totally unacceptable.,delivery late totally unacceptable,NEGATIVE,0.99977046251297
